first,second,,
/mnt/e/Brightfield_paper/0ara_1_noback.tif,0.096,,
/mnt/e/Brightfield_paper/0ara_2_noback.tif,0.212,,
/mnt/e/Brightfield_paper/0ara_3_noback.tif,0.21,,
/mnt/e/Brightfield_paper/0025ara_1_noback.tif,0.268,,
/mnt/e/Brightfield_paper/0025ara_2_noback.tif,0.351,,
/mnt/e/Brightfield_paper/0025ara_3_noback.tif,0.315,,
/mnt/e/Brightfield_paper/005ara_1_noback.tif,0.88,,
/mnt/e/Brightfield_paper/005ara_2_noback.tif,0.995,,
/mnt/e/Brightfield_paper/005ara_3_noback.tif,0.794,,
/mnt/e/Brightfield_paper/01ara_1_noback.tif,2.425,,
/mnt/e/Brightfield_paper/01ara_2_noback.tif,2.791,,
/mnt/e/Brightfield_paper/01ara_3_noback.tif,2.349,,
