first,second
/mnt/e/Brightfield_paper/Pf_nobiofilm_3_noback.tif,144234
/mnt/e/Brightfield_paper/0ara_1_noback.tif,260361
/mnt/e/Brightfield_paper/Pf_nobiofilm_2_noback.tif,23307
/mnt/e/Brightfield_paper/0ara_3_noback.tif,281263
/mnt/e/Brightfield_paper/0025ara_1_noback.tif,1.12E+07
/mnt/e/Brightfield_paper/01ara_1_noback.tif,1.19E+08
/mnt/e/Brightfield_paper/Pf_wspF_1_noback.tif,8.16E+06
/mnt/e/Brightfield_paper/01ara_3_noback.tif,1.09E+08
/mnt/e/Brightfield_paper/Pf_WT_2_noback.tif,4.41E+06
/mnt/e/Brightfield_paper/Pf_WT_1_noback.tif,1.37E+06
/mnt/e/Brightfield_paper/Pa_pel_1_noback.tif,0
/mnt/e/Brightfield_paper/005ara_2_noback.tif,5.06E+07
/mnt/e/Brightfield_paper/Pf_WT_3_noback.tif,2.61E+06
/mnt/e/Brightfield_paper/0025ara_2_noback.tif,1.18E+07
/mnt/e/Brightfield_paper/0035ara_2_noback.tif,2.84E+07
/mnt/e/Brightfield_paper/Pf_wspF_3_noback.tif,1.14E+07
/mnt/e/Brightfield_paper/005ara_3_noback.tif,6.05E+07
/mnt/e/Brightfield_paper/0035ara_1_noback.tif,4.50E+07
/mnt/e/Brightfield_paper/Pf_nobiofilm_1_noback.tif,579108
/mnt/e/Brightfield_paper/01ara_2_noback.tif,1.19E+08
/mnt/e/Brightfield_paper/Pf_wspF_2_noback.tif,1.01E+07
/mnt/e/Brightfield_paper/vpsL_1_noback.tif,0
/mnt/e/Brightfield_paper/vpsL_3_noback.tif,0
/mnt/e/Brightfield_paper/Pa_wspF_3_noback.tif,1.16E+06
/mnt/e/Brightfield_paper/vpsL_2_noback.tif,0
/mnt/e/Brightfield_paper/0025ara_3_noback.tif,1.48E+07
/mnt/e/Brightfield_paper/0ara_2_noback.tif,391972
/mnt/e/Brightfield_paper/Pa_pel_3_noback.tif,237
/mnt/e/Brightfield_paper/Pa_pel_2_noback.tif,0
/mnt/e/Brightfield_paper/Pa_wspF_1_noback.tif,476967
/mnt/e/Brightfield_paper/0035ara_3_noback.tif,3.11E+07
/mnt/e/Brightfield_paper/Pa_wspF_2_noback.tif,357848
/mnt/e/Brightfield_paper/005ara_1_noback.tif,7.12E+07
